dataset,audio_path,beats_path,has_downbeats
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105901.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105901.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Step_By_Step-04.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Step_By_Step-04.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104202.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104202.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104203.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104203.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105902.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105902.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104201.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104201.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104604.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104604.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Step_By_Step-02.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Step_By_Step-02.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104402.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104402.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104204.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104204.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104205.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104205.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Step_By_Step-03.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Step_By_Step-03.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104403.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104403.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104601.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104601.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104603.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104603.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104401.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104401.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Step_By_Step-01.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Step_By_Step-01.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Commitments-11.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Commitments-11.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104602.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104602.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-100601.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-100601.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104301.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104301.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105802.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105802.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104705.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104705.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104704.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104704.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105803.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105803.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104302.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104302.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-100602.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-100602.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105801.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105801.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104504.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104504.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104303.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104303.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-100603.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-100603.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Chrisanne2-01.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Chrisanne2-01.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Albums-Ballroom_Magic-18.wav,data/Ballroom/annotations/BallroomAnnotations-master/Albums-Ballroom_Magic-18.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105804.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105804.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104501.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104501.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104703.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104703.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-104702.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-104702.beats,True
ballroom,data/Ballroom/audio/BallroomData/Waltz/Media-105805.wav,data/Ballroom/annotations/BallroomAnnotations-master/Media-105805.beats,True
